id,itinerary_id,poi_id,description,budget,transport_type,transport_description,transport_budget,sort_order,created_at
62,aaron_itin_1770477663648,aaron_B0FFH27SSH,下午，喜洲古镇可以逛逛吃吃,0.00,driving,沿环海路前往双廊海景房，32km，1小时10分钟,0.00,1,2026-02-09 11:31:59.242179
63,aaron_itin_1770477663648,aaron_B0K3YOJNBZ,晚饭，双廊古镇觅食,0.00,,,0.00,2,2026-02-09 11:31:59.679385
64,aaron_itin_1770477693189,aaron_B0K3YOJNBZ,早饭，双廊古镇觅食,0.00,driving,,0.00,0,2026-02-09 11:32:00.552649
65,aaron_itin_1770477693189,aaron_B0368000B7,海上一个小岛，可以打卡拍照,0.00,driving,,0.00,1,2026-02-09 11:32:00.990201
66,aaron_itin_1770477693189,aaron_B0L0O5IV42,有通向海里的彩虹公路，可以在文笔村或理想邦吃点东西,0.00,driving,,0.00,2,2026-02-09 11:32:01.440586
67,aaron_itin_1770477693189,aaron_B0FFGJWJA3,地中海风格建筑，可以打卡拍照,0.00,driving,,0.00,3,2026-02-09 11:32:01.868985
68,aaron_itin_1770477693189,aaron_B03680030R,晚饭在大理站附近觅食,0.00,,,0.00,4,2026-02-09 11:32:02.314115
69,aaron_itin_1770477693189,aaron_B0K1DADB52,,0.00,,,0.00,5,2026-02-09 11:32:02.785023
70,aaron_itin_1770477786896,aaron_B0K1DADB52,,0.00,,,0.00,0,2026-02-09 11:32:03.657589
71,aaron_itin_1770477786896,aaron_B03680030R,早午饭，在大理站附近觅食,0.00,train,,0.00,1,2026-02-09 11:32:04.092008
72,aaron_itin_1770477786896,aaron_B037814F71,,0.00,,,0.00,2,2026-02-09 11:32:04.535361
73,aaron_itin_1770477786896,aaron_B0JKJZHOCS,晚饭，在丽江古城觅食,0.00,,,0.00,3,2026-02-09 11:32:04.978661
74,aaron_itin_1770477795368,aaron_B0JKJZHOCS,早午饭，在丽江古城觅食,0.00,bus,,0.00,0,2026-02-09 11:32:05.858838
75,aaron_itin_1770477795368,aaron_B03780IGNC,,0.00,bus,101大巴，15/人，两人票,30.00,1,2026-02-09 11:32:06.294343
76,aaron_itin_1770477795368,aaron_B0KUSZLB3O,,0.00,,,0.00,2,2026-02-09 11:32:06.725996
77,aaron_itin_1770477795368,aaron_B0378157WA,,0.00,,,0.00,3,2026-02-09 11:32:07.176451
78,aaron_itin_1770477795368,aaron_B0KUSZLB3O,,0.00,bus,101大巴15/人，两人票,30.00,4,2026-02-09 11:32:07.625612
79,aaron_itin_1770477795368,aaron_B03780IGNC,,0.00,,,0.00,5,2026-02-09 11:32:08.063643
94,aaron_itin_1770468126091,aaron_B03670W002,,0.00,driving,,50.00,0,2026-02-09 12:37:11.930470
95,aaron_itin_1770468126091,aaron_B03670W1Y7,,0.00,,,0.00,1,2026-02-09 12:37:11.947132
